symbol,order_type,lots,status,open_price,close_price,stop_loss,take_profit,magic_number,order_number,open_time,close_time,profit
USDJPY60,1,10,2,77.822,77.839,0,0,1234,24183,2011-07-27 12:15:00 +0900,2011-07-27 13:39:00 +0900,0.17
USDJPY60,2,5,2,77.839,77.828,0,0,1235,24184,2011-07-27 13:39:00 +0900,2011-07-27 14:25:00 +0900,0.055
USDJPY60,1,10,2,77.828,77.668,0,0,1234,24185,2011-07-27 14:25:00 +0900,2011-07-27 17:31:00 +0900,-1.6
USDJPY60,2,5,2,77.668,77.67,0,0,1235,24186,2011-07-27 17:31:00 +0900,2011-07-27 19:16:00 +0900,-0.01
USDJPY60,1,10,2,77.67,77.731,0,0,1234,24187,2011-07-27 19:16:00 +0900,2011-07-27 19:35:00 +0900,0.61
USDJPY60,2,5,2,77.731,77.784,0,0,1235,24188,2011-07-27 19:35:00 +0900,2011-07-27 21:37:00 +0900,-0.265
USDJPY60,1,10,2,77.784,77.858,0,0,1234,24189,2011-07-27 21:37:00 +0900,2011-07-27 22:25:00 +0900,0.74
USDJPY60,2,5,2,77.858,77.795,0,0,1235,24190,2011-07-27 22:25:00 +0900,2011-07-27 22:48:00 +0900,0.315
USDJPY60,1,10,2,77.795,77.861,0,0,1234,24191,2011-07-27 22:48:00 +0900,2011-07-27 23:09:00 +0900,0.66
USDJPY60,2,5,2,77.861,78.077,0,0,1235,24192,2011-07-27 23:09:00 +0900,2011-07-28 02:41:00 +0900,-1.08
USDJPY60,1,10,2,78.077,77.986,0,0,1234,24193,2011-07-28 02:41:00 +0900,2011-07-28 07:31:00 +0900,-0.91
USDJPY60,2,5,2,77.986,77.935,0,0,1235,24194,2011-07-28 07:31:00 +0900,2011-07-28 08:19:00 +0900,0.255
USDJPY60,1,10,2,77.935,77.955,0,0,1234,24195,2011-07-28 08:19:00 +0900,2011-07-28 08:26:00 +0900,0.2
USDJPY60,2,5,2,77.955,77.942,0,0,1235,24196,2011-07-28 08:26:00 +0900,2011-07-28 08:52:00 +0900,0.065
USDJPY60,1,10,2,77.942,77.956,0,0,1234,24197,2011-07-28 08:52:00 +0900,2011-07-28 09:40:00 +0900,0.14
USDJPY60,2,5,2,77.956,77.946,0,0,1235,24198,2011-07-28 09:40:00 +0900,2011-07-28 10:54:00 +0900,0.05
USDJPY60,1,10,2,77.946,77.867,0,0,1234,24199,2011-07-28 10:54:00 +0900,2011-07-28 13:12:00 +0900,-0.79
